"date","city","state","shape","duration","summary","posted"
"4/2/05 21:54","St. Helens (Merseyside) (UK/England)",NA,"Triangle","1 minute","THREE WHITE LIGHTS IN A TRIANGLE FORMATION TRAVELLING SOUTH EAST","10/30/06"
"4/2/05 10:30","Aviano (Italy)",NA,"Diamond","4-7 seconds","Arrow or Diamond shaped object observed near Aviano AB, Italy 2 April 2005","5/11/05"
"4/1/05 21:45","Townsville (Australia)",NA,"Light","about 3- 5 min","UFO over townsville Australia","4/16/05"
"3/31/05 20:30","Brisbane (QLD, Australia)",NA,"","5 minutes","Light in the sky that jumped around erratically, too fast and erratic for a helicoper or plane.","4/16/05"
"3/29/05 17:30","Sharourah (500 km north of) (Empty Quarter) (Saudi Arabia)",NA,"Light","2 mins","A light just looking like a star moving fast towards SouthEast at very high altitude, slowed down as it reached at the top of our campi","4/16/05"
"3/27/05 17:00","Tiwanaku (Bolivia)",NA,"Cone","?","I photographed a metalic cone-shaped craft in the sky near Tiwanaku, Bolivia","5/11/05"
"3/25/05 23:45","Albertville(France)",NA,"Fireball","6 seconds","Green Bal extremely fast in French Alpes","5/11/05"
"3/25/05 09:45","England (west coast)",NA,"Sphere","2 minutes","On 25/3/05 I was on a flight home to Manchester from Tenerife when I saw from the aircraft window a strange black sphere shaped object","5/11/05"
"3/25/05 00:02","Melbourne (VIC, Australia)",NA,"Triangle","18","Three Green Lights.","5/11/05"
"3/25/05 00:00","Melbourne (VIC, Australia)",NA,"Triangle","20 minutes","3 green lights in a triangular formation.","4/16/05"
"3/22/05 20:30","Tartu (Estonia)",NA,"Triangle","3 Seconds","3 Objects leaving marks onto the sky. ((NUFORC Note: Probably a photo of the aurora borealis. PD))","5/11/05"
"3/21/05 21:00","Felsted, Gt Dunmow (Essex) (UK/England)",NA,"Light","10 min","03/21/05 Felsted England 25 high flying light in an irregular pattern","4/16/05"
"3/21/05 01:20","Palmerston North",NA,"Light","1:46","Red, White and Green Flashing object in Palmerston North, New Zealand","5/11/05"
"3/20/05 05:40","Seria (Brunei)",NA,"Circle","5 minutes","Circular UFO hovering in the sky and leaving afterwards.","5/11/05"
"3/19/05 22:00","East Yorkshire (UK/England)",NA,"Changing","10 mins","Fridaythorpe UK close to Woldgate east yorkshire","5/11/05"
"3/19/05 20:00","Waregem (Belgium)",NA,"Oval","8 minutes","It was frightening.","5/11/05"
"3/18/05 22:00","St. Helier, Jersey (Channel Islands) (UK/England)",NA,"Circle","approximately 5 seconds","Very fast moving circular object, reddish in colour and glowing, no vapour trails, no flashing lights, no sound","5/11/05"
"3/17/05 22:30","Aylesbury (UK/England)",NA,"Oval","10 seconds","Green glowing meteor-like object streaks across sky and disappears behind tree-line","5/11/05"
"3/17/05 22:15","Newbury (UK/England)",NA,"Circle","About 10 secs","craft with 4 lights \"woooooooo\"'d over the skies nearby","5/11/05"
"3/16/05 13:35","Rota (??) (Spain)",NA,"Unknown","30 minutes","Ok first im an air traffic controller we have a radar system we use here called a PAR or precision approach radar. its a steady beam","6/20/05"
"3/16/05 08:45","Distington (UK/England)",NA,"Circle","seconds","BALL OF FIRE","5/11/05"
"3/16/05 07:47","Kefar Sava (Israel)",NA,"Oval","3 minutes","IT WAS SOMETHING ELSE.. MAYBE ALIEN","9/2/05"
"3/15/05 23:45","Haciendo de Cabanas, Guerrero",NA,"Disk","20 minutes","A large radiating craft seen above Playa Paraiso beach, 3 hours from Acapulco.","3/4/08"
"3/15/05 01:30","Turkey",NA,"Circle","2-3 seconds","Big red-yellow hazy round ball and 5 smaller yellow shining balls inside it in V-shape","1/10/09"
"3/14/05 15:45","Meredith (Australia)",NA,"Disk","5-10 mins","I was driving down a long stretch of country road heading home from shopping, when my son said\"look mum, whats that in the paddock! I t","2/14/06"
"3/14/05 15:45","Meredith (Australia)",NA,"Disk","5-10 minutes","I'm just letting you know i when i pulled over i drew the ufo i saw. So if you'd like it just let me know how i can get it to you, Your","2/14/06"
"3/13/05 18:37","Alton (near) (UK/England)",NA,"Other","14-15 second's(perhap's a","While looking out of window,noticed round orange light in sky which was visable for about 15 second's then light faded and went out.","3/18/14"
"3/13/05 07:30","Crewe (UK/England)",NA,"Sphere","1 minute","Silver sphere spotted in Cheshire 13 March 2005 at 07:30 am.","4/16/05"
"3/13/05 02:45","Edinburgh (UK/Scotland)",NA,"Formation","3 mins","2:45 am We observed three white lights very high moving quite fast towards the south.","5/11/05"
"3/12/05 14:30","Langenleiten (Germany)",NA,"Oval","2-3 minutes","Bright two segmented object fly´s by.","4/16/05"
"3/11/05 21:00","Haslach (Austria)",NA,"Light","2 min","moved from East to West. Red Light. (Not flashing like Airplanes)","5/11/05"
"3/11/05 14:00","Moreton Island (Australia)",NA,"Unknown","10 seconds","judge for yourself","5/11/05"
"3/11/05 13:05","Buenos Aires (Argentina)",NA,"Unknown","10 minutes","Object was moving in gentil zig zag aperanly at extreem altitude and changed from reflective to opaque","5/11/05"
"3/10/05 18:34","La Cholla, Sonora (Mexico)",NA,"Sphere","seconds","UFO in calm coastal Sunset sky.","5/11/05"
"3/10/05 17:45","Beja (Portugal)",NA,"Cigar","30 s","Cigar shaped aircraft","5/11/05"
"3/8/05 23:30","Brisbane (bay area) (QLD, Australia)",NA,"Light","10 mins","2 Organe lights, Southern and Eastern horzions.","9/2/05"
"3/8/05 19:20","Milano (Italy)",NA,"Fireball","10 min.","Great \"Globe of Light\" on the italian sky on March the 8. 2005","5/11/05"
"3/7/05 19:30","Goulburn (Australia)",NA,"Oval","10 minutes","Vertical oval-shaped object seen in skies over Goulburn, Australia, disappeared in orange sparks, before becoming a star.","5/11/05"
"3/7/05 13:00","London (UK/England)",NA,"Circle","5 seconds","Circle shaped object silently flew over, I would of guessed it was saucer shaped if I had seen it from another angle.","5/11/05"
