"date","city","state","shape","duration","summary","posted"
"6/15/93 21:00","Mt. Isa (Australia)",NA,"Unknown","30 sec","Driving home i saw a light hovering in the sky witch then shot off with a flash of light.","12/2/00"
"6/15/93 14:00","Kent (UK/England)",NA,"Circle","30mins","Thought it was the sun but it was too low. Can find no explaination","3/4/03"
"6/15/93 04:00","Neyland (UK/Wales)",NA,"","few minutes","the orange light passed directly over the house,humming and vibrating the window frame.it travelled north slowly","2/22/02"
"6/15/93 03:20","Peebles (near) (UK/Scotland)",NA,"Sphere","APPROX 15 MINUTES","Viewed at 200/300 yards using a rifle telescope it was very close and could not have been one of ours .","7/16/03"
"6/1/93 20:00","London (UK/England)",NA,"Other","30mins","may 93 ].8pm ufo over north london","3/6/01"
"6/1/93 20:00","Seville (Spain)",NA,"Unknown","total of 15m","Blue light and no sound","7/16/06"
"6/1/93 19:00","Banja Luka (Bosnia)",NA,"Triangle","10 seconds","1993 in Bosnia, triangle shaped craft with dim lights, flew very low but it was completely silent.","11/28/07"
"6/1/93 02:00","Tehran (Iran)",NA,"Flash","","I was asleep at my aunt&#8217;s house in my cousin&#8217;s room. I woke up 2:30am(1993) in the middle of the night without even precedi","4/28/01"
"6/1/93 00:00","Brazil",NA,"Unknown","10 Minutes","USN OS (Operations Specialist) CV-64 tracks UFO off coast of Brazil Summer '93","1/10/09"
"6/1/93","",NA,"","","When I was in High School I saw a UFO. I was early at my bus stop that morning and nobody was around. I looked up I saw the moon in the","10/30/06"
"5/15/93 20:00","London (UK/England)",NA,"Other","45.min","ufo sighted near alexandra palice north london","4/8/02"
"5/6/93 02:00","Glasgow (UK/Scotland)",NA,"Triangle","30 secs","Triangular object - array of lights (multicoloured) - looked at it for about 20-30 seconds then it vanished","3/16/01"
"5/5/93 20:00","Parkal (India)",NA,"Disk","10min","large formation of lights","2/14/08"
"4/15/93","London (UK/England)",NA,"Disk","20 minutes","I know now that these ufo saucers visited and studied this part of north london between april and may 1993 their activities were intenc","6/20/12"
"4/12/93 21:00","New Delhi (India)",NA,"Circle","2 minutes","It was UFO","2/24/07"
"4/3/93 16:30","Mudgee (Australia)",NA,"Other","Unknown","Probable abduction of child in 1993 - Strange craft which appears to be remotely piloted","3/11/03"
"3/31/93 02:00","Birmingham (UK/England)",NA,"Cross","3 hours","I witnessed a turquoise colour configuration. It went on for hours. I watched the whole thing through leaded diamond shape windows. It","8/13/15"
"3/31/93 00:00","Norfolk (UK/England)",NA,"Triangle","minutes","3-31-1993 at approximately midnight: Large, silent , motionless black triangle just above low cloud.","9/9/13"
"3/15/93 21:30","Edinburgh (UK/Scotland)",NA,"Unknown","5 min","light in sky","12/12/09"
"3/8/93 21:35","San Antonio Del Mar (Mexico)",NA,"Disk","3 minutes","San Antonio del Mar, Baja California 5 miles north of Rosarito Beach Monday, March 8, 1993, 9:35 p.m.
        
        Bright moonlit night","7/16/06"
"3/8/93 19:35","San Antonio del Mar (Mexico)",NA,"Disk","2-3 minutes","Bright moonlit night with low fog on horizon No aircraft or boats off the coast of Baja California Bright lights appear at about 30 to","10/8/07"
"3/1/93","Merseyside (UK/England)",NA,"Sphere","1hour approx","3 shiny metallic spheres flew in highly complex patterns and appeared to \"play\" with each other.","8/5/01"
"2/20/93 20:00","Melbourne (VIC, Australia)",NA,"Disk","8min","over the nullabour australia","8/5/01"
"1/15/93 20:00","Brisbane (QLD, Australia)",NA,"Formation","1 minute or so","Bright white lights in the sky in formation of square. 9 lights in 3 rows of 3.","8/28/02"
"1/15/93 01:00","Puebla (Mexico)",NA,"Circle","15 Minutes","After seeing this U.F.O i have become more open minded.","10/30/06"
"1/14/93 03:30","Assenovgrad (Bulgaria)",NA,"Light","45 min","UFO near Assenovgrad - Bulgaria","11/26/03"
"1/1/93 01:00","Auckland (New Zealand)",NA,"","5 minutes","moving object changes direction to avoid enemy fire,.,..","6/20/05"
"12/18/92 23:45","Kings Lynn (UK/England)",NA,"Oval","12minutes","observed UFO entering earths timescale via opened starlike-gate then watched it create a further Portal-gate to leav","8/5/09"
"12/15/92","Kaitaia (New Zealand)",NA,"Light","10 minutes","bright light in sky follows car and does some amazing speed tricks with colored vopour trails","9/9/04"
"12/11/92 22:00","St. Andrews (UK/Scotland)",NA,"Sphere","10mns. ?","large sphere on the ground which reflected multicoloured light when spotlight hit it.","1/17/04"
"12/1/92 20:00","Casterton (Victoria) (Australia)",NA,"Oval","I minute","Driving I saw something in the sky, I looked up abit, then it sort of flashed away, and was gone.","9/19/02"
"12/1/92 01:00","Tromsoe (Norway)",NA,"Light","8 sec","Small white bounsing light over steel bridge in calm weather.","6/6/00"
"11/20/92 01:30","Calcutta (Kolkata) (India)",NA,"Diamond","10 Minutes","A sparkling ball with edges diffusing various coloured fashes.","12/19/03"
"10/20/92 02:00","Kaunas (Lithuania)",NA,"Unknown","1 hour","alien encounter [?] .. frog with antenna","3/17/04"
"10/15/92 22:30","Nhlangano (Swaziland)",NA,"Sphere","10 minutes","Strange light emmitting shpere in Africa with bright flashes.","1/17/04"
"10/9/92 19:49","Eastern USA",NA,"Other","41 seconds","Fireball meteor impacts a car with license plate carrying a message just before NASA begins HRMS project..","12/20/12"
"10/9/92 12:00","Perth (Western Australia)",NA,"Triangle","30 seconds","i saw three traingular ufos, the one in the middle was bigger than the other ones. they didn't stay for very long. me and me brother we","12/16/05"
"10/6/92 13:00","Prishtina",NA,"Circle","20 seconds","Orange Circle","2/14/06"
"9/15/92 02:30","U. S. Navy cruiser (Gulf of Mexico)",NA,"Triangle","about 10-15 min","UFO at sea","7/16/06"
"8/28/92 05:30","Yorkshire (South) (UK/England)",NA,"Oval","5 mins","STRANGE SOUNDS COMING FROM OUT SIDE WENT TO INVESTERGATE THEN SAW STRANGE OBGECT IN SKY","8/5/01"
"7/15/92 23:00","Casalabate (Italy)",NA,"","3 minutes","catena metallica dove le maglie di ferro erano sostituite da lingue di fuoco incandescente","11/20/02"
"7/1/92 21:00","La Romana (Dominican Republic)",NA,"Light","5 to 8 minutes","Giagantic circle of light emitting smaller light circles of different colors","10/30/06"
"6/30/92 12:30","Somerset (UK/England)",NA,"Unknown","12 MIN","one person now still remains hence brother dead","10/30/06"
"6/15/92 16:30","Yogyakarta (Indonesia)",NA,"Unknown","10 minutes or less","Odd red light zigzaging over Yogyakarta, Indonesia","12/23/02"
"6/15/92 02:00","Sedgefield (UK/England)",NA,"","5 seconds","Circles of light on pavement without beams","8/28/02"
"6/11/92 16:26","Nowra (Australia)",NA,"Disk","16:29","On one sunday afternoon an object was seen 2-3km away in the east and without doubt it was a fling saucer.","2/18/01"
"6/6/92 05:00","Tabriz (Iran)",NA,"Circle","1 Minute","The Circle Object With Lights Around It Was Moving Gently In The Sky","2/14/10"
"6/3/92 07:36","Leeds (UK/England)",NA,"Sphere","20seconds","A golden sphere traveling at a slow rate then it was gone in a flash like the star ship enterprise in warp drive?","1/17/04"
"6/1/92 04:00","Vrå (Denmark)",NA,"Light","?","intelligens elsewere","2/22/02"
"6/1/92","Home Front Compound (India)",NA,"Disk","A minute or so.","I am a Spiritualist who now believes in the unseen: for it is from that nothing - that everything comes. Time to think from the Beyond:","4/3/11"
"5/21/92 20:34","Melbourne (VIC, Australia)",NA,"Other","12 min","It was fork shaped with 3 points. the tips were blue. three lights ran down each point. first red. then green, then blue. as soon as we","1/28/99"
"5/1/92 22:00","Va'vau (Tonga)",NA,"Sphere","30 minutes","Green lights slowly moving and alternating in color from green to white to green again","8/7/07"
"4/22/92 02:00","Canberra (Australia)",NA,"Cone","2 minutes","cone shaped craft hovering in mid-air in Canberra, Australia","10/30/06"
"3/28/92 20:00","Roshnee (South Africa)",NA,"Light","about an hour","tell me what happened to me ?","6/13/02"
"3/15/92 23:00","Leirfjord (over) (Norway)",NA,"Flash","5 minutes","single flashing light, suddenly hundreds or thousands of flashes, then back to one single","1/10/09"
"2/16/92 02:00","South Armagh (Rep. Of Ireland)",NA,"Diamond","15 mins","Whilst serving in the British Army in Northern Ireland, myself and my patrol were waiting for a chopper pick up, however we were told t","2/14/06"
"2/15/92 23:30","Baumholder (Germany)",NA,"Triangle","30min","three red lights/triangle pattern/gust blackness between the three lights..","11/20/01"
"2/14/92 22:30","Panajachel (near) (Guatamala)",NA,"Changing","about 7 minutes","Beam of light follows me walking, moves high into trees on cliffside, seems to swivel as it fades out.","5/24/05"
"2/14/92 21:00","Panajachel (near) (Guatamala)",NA,"Unknown","15 minutes","4 of ORION'S stars obscured on a clear night at Lake Atitlan","5/24/05"
"1/11/92","Newtown (UK/Wales)",NA,"Other","10 minutes","3 black silntly moving craft","1/17/04"
"12/12/91 23:30","Wollongong (NSW, Australia)",NA,"Light","4 minutes","two star light UFO's travelling with my car on either side and took off in a unisin in a spiral formation","8/5/01"
"12/5/91 01:45","Gloucseter (UK/England)",NA,"Triangle","10 minutes","the sound from the craft moved threw the air before we saw it about two minutes after we saw the craft it was triangular in shap and ve","8/28/02"
"12/1/91 22:00","Reynosa (Mexico)",NA,"Formation","like 5 minutes","THEY WERE FLYING AT AT A FAST SPEED","10/27/04"
"11/15/91 23:55","Ufa (Russia)",NA,"Formation","more than 30 minutes","Five white disks a bit smaller than the moon formed a letter C above the Krupsky Park, Ufa, Russia.","12/3/04"
"11/14/91 23:15","Arvidsjaur (Sweden)",NA,"Unknown","4 minutes","how can something that looks like a falling \"star\", -stop and change direction instantly?","4/28/01"
"10/25/91 00:05","Prague (Czech Republic)",NA,"Sphere","10 seconds","Yellow sphere with a red blinking sphere on the top, flew straightly in very high speed without any sound","12/3/04"
"9/17/91 22:00","Quito",NA,"Disk","15 min","UFO sighting with orange lights","11/20/02"
"9/12/91 23:00","Baghdad (Iraq)",NA,"Cylinder","","in the nighr of sep 1991 i was in the roof top of my house and the national power was off working due to the strikes that our powre sta","8/5/09"
"9/12/91 23:00","Nice (France)",NA,"Other","8 seconds","dim moving object south to north took a left turn with no curve or change of speed) and began to move east and vanished","12/23/02"
"8/26/91 00:00","Golqnovci (Bulgaria)",NA,"","10min.","Sre6ta ot treti vid","1/21/08"
"8/24/91 20:00","Newcastle (Australia)",NA,"Unknown","1 minute","see pdf download, OR download pdf at www.streamsystems.com.au","6/12/07"
"8/8/91 23:55","Walesby, Nottinghamshire (UK/England)",NA,"Sphere","10-15 seconds","2 large orange spheres- one slightly behind the other- travelling extremely fast above cloud layer.","2/27/00"
"8/1/91 23:00","Podol'sk (Russia)",NA,"Disk","3-5 seconds","Noseless sauser, lucky witness.","12/23/02"
"7/15/91 20:30","Maiduguri (Nigeria)",NA,"Light","20-25 seconds","What fascinated me was the irregularity in speed and distant to the Airliner","8/5/01"
"6/1/91 22:00","Larissa (Greece)",NA,"Triangle","some minutes","At 1991 triangular bright yellow colored objects on black sky in central Greece,EU.","3/28/04"
"6/1/91 21:00","Zihautinejo (Mexico)",NA,"Cylinder","5 sec","I looked up from a Beach called Los gatos and saw three circular disc in triangle formation shift forward and left out of sight","7/4/12"
"6/1/91 12:00","Iraq",NA,"Disk","4 seconds","Object filmed by professional camera crew during first Gulf war","2/24/07"
"5/19/91 00:00","Epernay (near) (France)",NA,"Other","2-3 hours","When penetrating to the inner core of the aliens light signals were sent by you!","2/1/07"
"4/14/91 07:15","Panchgani (India)",NA,"Other","10 mins","shooting star like ufo","12/3/04"
"3/21/91 02:00","Ashgabat (Turkmenistan)",NA,"Other","blue light","On 21 march 1991.I was sleeping with my baby daughter 17 monthold,she was in my arms sleeping I beleave around 2 AM my room was so bri","10/11/05"
"3/15/91 12:00","Hertfordshire (UK/England)",NA,"Disk","30secs","fiery disc object seen moving across sky.moving away then returning, then moving away at high speed","8/5/01"
"2/15/91 15:00","Hafer Al Ban (Saudi Arabia)",NA,"Other","3-5 minutes","Feb 1991 Gulf War Desert Storm UFO Sighting very close- about 3 stories off the ground","5/12/09"
"2/15/91 00:00","Munich (Germany)",NA,"Formation","2 minutes","I will tell you what three of my friends and I saw some years ago ( it was the time of the first Irak war), lying on the river \"Isar\" i","7/5/05"
"1/17/91 02:46","Iraq (10 km inside border with Kuwait)",NA,"Triangle","5min","Strange black triangle moved close to our formation","12/9/03"
"1/6/91 23:00","Humacao (Puerto Rico)",NA,"Circle","2 minutes","I heard a very loud airplane engine like noise. I didn't pay much attention to it until I realized it had been about a minute and it ha","10/30/06"
"1/1/91 20:00","Bandar Seri Begawan (Brunei)",NA,"Other","10-15 seconds","closest encounter with a UFO - 30-40 feet away","7/16/06"
"12/24/90 20:00","USS John F. Kennedy (Atlantic Ocean; near Virginia)",NA,"Oval","45 seconds","It happened on board the USS John F Kennedy","6/10/10"
"12/8/90 22:00","Amsterdam (Netherlands)",NA,"Sphere","5 minutes","Initially we thought it was a satellite reflecting the sun, but soon we realized that it had to be something else.","8/16/02"
"11/20/90 22:30","Al - Jubail (approx. 35 miles sw of) (Saudi Arabia)",NA,"Circle","1min","While on guard duty during Operation Desert Shield, I and three others we're talking at the entrance gate to our compound in the Saudi","10/12/01"
"11/15/90 23:30","Jubail (Saudi Arabia)",NA,"Oval","2min","Pre-sighting of March 1996 Blue Oval near Jubail Saudi Arabia","10/31/03"
"11/15/90 23:00","Perth (Western Australia)",NA,"Light","3 minutes","Two lights travelling toward each other.","11/16/02"
"11/15/90 22:30","Bremen (30 km south of) (Germany)",NA,"Unknown","30 sec","One object. It had one bright light at his front ( or back ). On its underside was a cross of lights like positioning lights, blinking","8/5/01"
"11/15/90 11:00","Kerak (Jordan)",NA,"Oval","3 minutes","oval vehicle with red lights flew directly over me","5/11/05"
"10/15/90 22:30","Saudi Arabia",NA,"Triangle","15 -20 seconds","October 1990 - Saudi Arabia - large dark triangular object - 3 white lights - 20 seconds - no sound - no stars behind object","10/20/05"
"10/15/90 21:30","Taipei City (Taiwan)",NA,"Circle","30 Second","7 luminous objects, circle shapes; 6 objects circled to be a ring and 1 object in the center. around half of the moon size","10/12/01"
"9/12/90 19:00","Cairo (Desert Storm) (Egypt)",NA,"Disk","35 minuets","This sighting took place in 1990 over in the middle east during Desert Strom.","5/15/06"
"9/1/90 20:00","Israel",NA,"Circle","3 minutes","A circular silent craft with colorful blinking lights. I saw it at eye level from my second story balcony.","11/3/05"
"8/20/90 22:00","Pärnu (Estonia)",NA,"Light","Sea side","A UFO who play with tractor driver","2/12/04"
"8/17/90 03:00","Peireus (Greece)",NA,"Unknown","2 minutes","While driving an big light covered all my car. nothing was in function.","8/28/03"
"8/16/90 20:00","Seoul (South Korea)",NA,"Light","9 sec","A bright small light coming toward at me very slowly.","5/11/05"
"8/16/90 19:38","Adana (Turkey)",NA,"Oval","","Das war einem august nacht. Ich und mein bruder wier wolten eigentlich draussen gehen, bevor wir tür standen haben wir ca.6km entfernun","4/22/03"
"8/8/90 10:30","St. Marys, NSW (Australia)",NA,"Light","2min approx","1 light came from the south, hovered ,split into 2 new lights , series of maneuvers , remerged with the original light and sped off","4/2/99"
"7/30/90 00:30","Utuado (Puerto Rico)",NA,"Light","30sec.","Bright Orange and Yellow constant light emiting heat and lasted for seconds.
        
        500 Lights On Object0: Yes","12/12/09"
"7/15/90 23:59","Thoiry (France)",NA,"Unknown","30 seconds","zigzagging light traveling through space and traveling around stars","4/22/03"
"7/15/90 22:00","Sinai Peninsula (Egypt)",NA,"Unknown","60-90 seconds","A bright object in the sky moved towards us then flew away.","4/26/99"
"7/1/90 22:30","Kazakhstan",NA,"Cigar","3 seconds","rectangular/cigar shape object with glowing blue lights, glowing blue body and blue \"exaust\" trail.","2/24/07"
"6/30/90 18:00","Delhi-33 (India)",NA,"Triangle","1.00 ganta","in 1990-91 a ufo came over my house a-67 indra nagar 6no lane,delhi-33,india V shape ufo with disco lights below small shape ufo small","1/5/11"
"6/30/90 18:00","Delhi (India)",NA,"Triangle","15 minutes","Triangle ufo seen with disco lights below","1/12/12"
"6/30/90 12:00","Curitiba (Brazil)",NA,"Cylinder","12 seconds","Tumbling silver trash can with black lids, flawless.","2/4/13"
"6/15/90 16:00","Nr Watford (UK/Wales)",NA,"Circle","2 minutes","I was piloting a light aircraft, and I chased a round flying object that moved at very high speed","7/23/03"
"6/15/90 01:00","Renfrew (UK/Scotland)",NA,"Light","15 mins","Bright flourescent colour changing light seen near airport, viewed for 15 minutes slowly moving before departing","11/9/02"
"6/1/90 23:30","Durham (UK/England)",NA,"","10 mins","gazing north west at a very clear night sky from my doorstep i noticed what i thought was a star heading toward earth iwatched it for a","3/19/02"
"6/1/90 22:00","Three Rivers (Canada) ??",NA,"","45 min","large triangular shape with square shaped white lights also several saucer shaped objects with one red and green light larger object s","4/1/01"
"6/1/90 18:00","Delhi",NA,"Triangle","15 minutes","Saw triangle plane like object over my house standing it has disco lights all over its edges.no noise","1/12/12"
"6/1/90 02:00","Sydney (Australia)",NA,"Oval","10 min","1990 sighting sydney australia reported 2008","10/31/08"
"6/1/90 00:30","Townsville (Australia)",NA,"Teardrop","15min","Craft invades no fly military airspace undetected by radar","5/15/06"
"4/21/90 22:10","Bad Pyrmont (Germany)",NA,"Other","ca.20 Sekunden","Grosses schwarzbraunes kastenfÃ¶rmiges Objekt (UFO) in nur ca. 10 Meter HÃ¶he schwebend gesichtet,ca. 20 Sek.","5/29/11"
"4/15/90 00:00","Cabo Rojo (Puerto Rico)",NA,"Light","10 seconds","3 lights seen in a triangular shape, Cabo Rojo, Puerto Rico","7/5/08"
"3/31/90","Belgium",NA,"","","I have noticed a similiarity in 2 UFO vidoes on the internet this morning.
        
        Niether video is very new but I believe them to show basi","3/31/08"
"3/1/90 20:30","San Pedro (Belize)",NA,"Oval","2 seconds","glowing noiseless oval fluttered out of clouds and shot backwards into said clouds.","5/11/05"
"2/23/90 08:30","Queensland (Australia)",NA,"Other","10 mins","Two animal shaped crafts fly over the beach in Queensland on an westerly breeze","10/11/05"
"2/8/90 21:00","Manchester (UK/England)",NA,"Triangle","8 seconds","Large Black Triangle with three Red Lights at each corner about 500 Meters big flew at about 100Feet!!!!","5/11/05"
"2/7/90 11:00","York (UK/England)",NA,"Cylinder","30-60 seconds","Very small cylinder type object viewed close up. Changed direction and dissapeared upwards.","8/5/01"
"1/15/90","South Pacific (243 miles above)",NA,"Disk","","UFO seen in NASA footage of MIR","12/23/02"
"1/7/90 23:00","Hook Hampshire (UK/England)",NA,"Disk","2 minutes","UFO sighting Hook Hampshire UK","5/15/06"
"1/1/90 23:00","Slagelse (Denmark)",NA,"Triangle","3-5 mins","Drove home late evening after visiting family in Slagelse.
        
        Aprx. 3-4 kms off Slagelse, an object moving slowly in from left (south)","10/11/05"
"1/1/90 18:00","Delhi (India)",NA,"Triangle","15 minutes","Saw triangle shape plane with disco lights all over its edges standing over my house","1/12/12"
"1/1/90 00:15","Sao Paulo (Brasil)",NA,"Disk","5 minutes","Large, multicolored, glowing craft hovered over neighborhood in Sao Paulo, Brasil","4/27/07"
"12/25/89 23:00","Santiago (Chile)",NA,"Light","15 minutes","A light went up into the sky, hoovered around for awhile, changed color, and moved around. The light was bright red and eventually fade","3/16/00"
"12/24/89 01:00","Santiago (Chile)",NA,"Light","20 mins","UFO Santiage, Chile 1989","5/13/12"
"12/9/89 21:00","Cork (Republic of Ireland)",NA,"Changing","20 mins","bright diamond band on the lower rim,coloured . blue mist","6/6/00"
"11/17/89 07:30","Ensenada (Mexico)",NA,"Disk","1 minute","A circular shaped craft emiting three amber rays under it slowly hovering silently over the houses of the neighborhood .","4/27/04"
"11/15/89 10:00","Iver Heath (xbridge.NWL ondon (Thames) (UK/England)",NA,"Other","1hr1/2","it looks like smoke no thats a ufo mate.1989.","7/5/08"
"11/11/89 20:00","Dun Laoghaire (Republic of Ireland)",NA,"Disk","1 minute","It was a saucer above with a steel finish and flashing lights that changed colour, it made no sound","1/11/02"
"11/11/89 05:30","Jamaica",NA,"Cylinder","a few minutes","A cylinder looking object, which travelled at great speed with fire reddish, blueish flames","4/22/03"
"10/21/89 23:45","Dublin (Republic of Ireland)",NA,"Triangle","25mins[at least]","i was taking a shortcut through the secondary school and i saw a very bright light,i thought it was a really bright star.as i got close","6/6/00"
"10/11/89 02:30","Copenhagen (Denmark)",NA,"Fireball","3min.MAX'","ann:Light as an exploding thing then taking form to a ball'and first scatter the to the nearest corner,next the opposit'site of the lau","2/12/04"
"10/7/89","Libya",NA,"Circle","1min","A bright red circle shaped object that was moving straight and zigzaging.","11/26/03"
"9/10/89 21:10","Antalya (Turkey)",NA,"Rectangle","2 or 3 minutes","I have never seen such an object in my life , movies and TV.","7/16/03"
"8/16/89 02:00","Birmingham (UK/England)",NA,"Circle","5miniutes","a green fizzing ball the size of the moon travelling low and fast in the night sky ..","9/2/05"
"8/15/89 01:20","Tilburg (Netherlands)",NA,"Triangle","20 Seconds","I saw a triangular shaped object rotating slowly in the sky..Had four lights in it...","12/20/00"
"8/10/89 21:00","Gibraltar",NA,"Other","45 minutes","It was a typically hot Summer´s evening in Gibraltar. I enjoyed walking my dog and on this particular day I had chosen a relatively qui","2/14/10"
"7/15/89 22:00","Finland",NA,"Circle","6 seconds","Suddenly a big, bright red circle appeared to the sky!","11/26/03"
"7/1/89 17:30","Riyadh (Saudi Arabia)",NA,"Diamond","10m","I DID NOT SEE THE UFO IT SELF, BUT I SAW THE PLACE IT LANDED IN 3 EVEN SPOTS BLACK LIKE IT WAS PLASTED OFF . THE STRANGE THINGS IS CLOT","3/4/03"
"6/30/89 19:00","Birmingham (UK/England)",NA,"Light","2 minutes","A red 'sun' that pulsed back and forth in an unbelievable way.","9/13/02"
"6/20/89 21:30","London (UK/England)",NA,"Triangle","10-15 mins","UFO'S IN ENFIELD,MIDDLESEX","12/2/00"
"6/15/89 21:00","Kiev (Ukraine)",NA,"Fireball","seconds","fireball comming right to me","3/4/03"
"6/6/89 02:00","Rheinland-Pfalz (Germany)",NA,"Sphere","5 min","Multiple light-orbs / -spheres, transluciant, multicoloured, appearing rapidly and circling my house.","6/3/10"
"6/4/89 22:30","Adjuntas (Puerto Rico)",NA,"Disk","4 min.","Disc observed directly from underneath.","4/16/05"
"6/4/89 22:30","Adjuntas (Puerto Rico)",NA,"Disk","5 minutes","Disc only three stories high, I was directly underneath.","5/24/05"
"6/4/89 22:30","Adjuntas (Puerto Rico)",NA,"Disk","1 minute","Disc that emmited beams of light....","5/11/05"
"6/1/89 23:00","Zagreb (Croatia)",NA,"Fireball","1 minute","Fireball on the night sky.","2/1/07"
"5/12/89 16:00","St. Petersburg (Russia)",NA,"","5 Minutes","Garyish UFO in St. Petersburg, Russia","2/1/07"
"4/26/89","Krasdnoyarsk (Russia)",NA,"","","Let's Liquidate the Myth of the UFO! The last issues of the Russian newspaper Komsomolskaya Pravda published a series of five articles","4/14/09"
"4/22/89 17:30","Dubai",NA,"Flash","02 seconds","Green bright light flash","9/1/04"
"3/13/89","NASA shuttle DISCOVERY",NA,"Unknown","unknown","Intercepted NASA transmission describing alien spacecraft confirmed by reversed speech","10/30/06"
"1/11/89 20:30","Shotts (UK/Scotland)",NA,"Rectangle","1 minute","Low flying object over a small town in Central Scotland. Completely silent.","10/8/07"
"1/6/89 22:00","Bünde (Birdwood Barracks) (Germany)",NA,"Circle","Unclear","Two red lights circling around a solid dark mass hanging sationary in the night sky.","4/28/01"
"11/1/88 17:00","Vila Velha (Brazil)",NA,"Circle","05 to 10 min","Curiosamente, passados tantos anos deste avistamento e, tendo vivido uma outra experiência muito mais forte que essa e numa fase da vid","4/27/07"
"10/15/88 19:30","London (UK/England)",NA,"Circle","4 minutes","Too big to be a balloon - i haven't been able to completely forget it. Would really like an explanation.","8/5/01"
"10/12/88 16:30","Melbourne (VIC, Australia)",NA,"Cigar","15 MIN'S","Large cigar shaped craft,flying sideways,over bay,toward's our car.","9/29/04"
"10/9/88 21:00","Bridgend",NA,"Disk","15 mins","The experience was not frightening, it was a beautiful craft that we saw and if it were to come back then it would be great!","2/18/01"
"10/5/88 06:30","Daqing (China)",NA,"Changing","2mins","cicular then oval red dish took place from ground","10/11/05"
"9/25/88 14:00","Polpero, Cornwall (UK/England)",NA,"Circle","6secopnds","At approximately 14.00 hrs whilst playing a game of table tennis outside, i looked almost directly into the clear sky above me. As some","5/14/02"
"9/21/88 03:00","Atlantic Ocean (middle)",NA,"Fireball","15 seconds","The light clearly lit up the bow of the vessel, where no light should have been, in the middle of the Atlantic.","5/11/05"
"9/20/88 13:00","Atlantic Ocean",NA,"Unknown","20 seconds","The craft was visible at different positions for about 20 seconds at a distance of 3 to 4 miles to 4 to 500 feet.","5/11/05"
"9/1/88 23:30","Cluj (Romania)",NA,"Sphere","3 min","Spherical, red lightning, no sound, small hazardous movings but still \"under control\". With a \"shy\" companion.","10/30/06"
"8/27/88 20:30","Zadar (Croatia)",NA,"Fireball","few minutes","It was a summer evninig. I was taking a walk near the sea. I saw two fire balls in the sky. They were very big. They were flying and ju","7/30/02"
"8/16/88 23:20","Dudley (UK/England)",NA,"Triangle","5 mins","Triangular craft flies very low over Dudley UK","7/16/06"
"8/10/88 15:00","Suzhou, Jiangsu (China)",NA,"Circle","5 minutes","one shining spiral moves fast from southwest to southeast, view from suzhou, jangsu, China, 5 minutes","5/15/06"
"8/8/88 00:00","Tashkent (Uzbekistan)",NA,"Oval","5 seconds","When I was lying on the bed in our yard of our house, it was nearly midnight, and I was slightly going to sleep. I don`t know suddenly,","2/22/05"
"7/24/88 11:00","Hong Kong",NA,"Formation","unknown","Have a photo that shows a UFO taken over Hong-Kong China","2/18/01"
"7/20/88 02:00","Nottingham (UK/England)",NA,"Cigar","5 minutes?","Summer 1984, Cigar Shaped Craft seen in Nottingham U.K.","5/11/05"
"6/30/88 23:00","Mexico (Pacific Ocean)",NA,"Disk","1 hour","WE WERE COMMERCIAL NET FISHING SWORDFISH ABOUT 80 MILES INTO MEXICO ABOUT 120 MILES OF SHORE JUST SOUTH OF SAN DEIGO THE NET IS A MILE","7/5/08"
"6/30/88 01:00","Republic of Ireland",NA,"Light","10s--15s","SCANNED BY A GREEN LIGHT.","7/16/06"
"6/30/88","CHENNAI CITY (MADRAS) (India)",NA,"Oval","","Dear all, 05.04.02 On a pleasant evening it was still sun","4/8/02"
"6/21/88 17:10","Tucano (Brazil)",NA,"Flash","15 seconds","Flashing light two times with 15 seconds interval.","3/26/15"
"6/10/88 21:30","Murwillumbah (Just north of) (Australia)",NA,"Disk","2to5mins","It was huge and it came down and hovered over the cane feilds just north of Murwillumbah in New South Wales Australia.My wife and i wer","6/12/02"
"6/1/88 22:00","Peru",NA,"Diamond","2 minutes","Three light blue/green objects, diamond shaped, triangle pattern over the Andes in Peru, move extremely fast. 5 witnesses","3/8/07"
"6/1/88 13:05","Boca de Uchire (Venezuela)",NA,"Sphere","20 seconds","Round silent mirror white/green object flying low over the river heading towards the sea.","11/28/07"
"6/1/88 12:00","UK/England (Lincolnshire)",NA,"Sphere","20 min","strange couple of objects","2/14/06"
"6/1/88 01:15","Melbourne (VIC, Australia)",NA,"Fireball","8 - 10 min","I can,t exactly remember the date.....but it was early saturday morning at about 1.15 am......My friend and I were going home after a n","2/18/01"
"3/11/88 01:10","Cessy (France)",NA,"Other","","HBCCUFO CANADIAN REPORT: Two orbs and 1 humanoidish figure.","3/29/04"
"1/26/88 23:00","Sydney (NSW, Australia)",NA,"Cigar","3 minutes","UFO Encounter Close 26th January 1988 Pre Olympic Site Sydney 2000 .","4/27/04"
"1/10/88 21:30","Bellside/Wishaw (UK/Scotland)",NA,"Sphere","2 min.","large pink luminous globe ,bright flare close too moved at very low level silently","8/5/01"
"12/15/87 22:00","Guyana",NA,"Unknown","5 seconds","Object streaked at a very high speed into the sky. Object was kinda redish and orange in color and looked kind of round from the distan","12/23/02"
"12/15/87 00:00","Nafpaktos (Greece)",NA,"Fireball","","A fire ball come from the sky","1/28/99"
